fen,phase,move_number,turn,material_diff
rn1k1b1r/pbpp1p1p/1p2p3/7B/3PP2q/P1N2Q2/1PP2PPP/R3K2R w KQ - 2 12,middlegame,23,white,-2
rn2kb1r/pbpp1p1p/1p2p2p/6q1/3PP1B1/P1N5/1PP2PPP/R2QK1NR b KQkq - 3 7,middlegame,14,black,0
rn1qkb1r/pbpp1ppp/1p2p2B/8/3PP3/P1N5/1PP2PPP/R2QKBNR b KQkq - 0 5,middlegame,10,black,3
r6q/ppp1kpQ1/3bpnp1/6B1/3nN3/3B4/PPPK1PP1/R7 w - - 1 16,middlegame,31,white,-1
r6q/pppk1pQ1/3bpBp1/8/3nN3/3B4/PPPK1PP1/R7 w - - 1 17,middlegame,33,white,2
rn1qkb1r/ppp1ppp1/5np1/3p4/3P4/4P3/PPPN1PPP/R1BQKB1R b KQkq - 1 6,middlegame,12,black,0
r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,opening,6,black,0
r1bqk2r/pppp1ppp/8/4p3/2BnP1n1/P1NP1N2/1PP2KPP/R1BQ3R w kq - 1 8,middlegame,15,white,2
r1bqk2r/pppp1ppp/8/4p3/2BnP1n1/P1NP1N2/1PP3PP/R1BQ1K1R b kq - 2 8,middlegame,16,black,2
r6r/pp1k2pp/2pb2b1/8/5N2/2PPP3/PP4PP/R3K2R w KQ - 3 19,middlegame,37,white,-1
r3k2r/pp2b1pp/2p1N1b1/4q3/8/2PP1Q2/PP3PPP/R3K2R w KQkq - 1 16,middlegame,31,white,-1
r2qkb1r/pp3ppp/2p1p1b1/7n/2B2B2/3P1Q2/PPP1NPPP/R3K2R b KQkq - 3 11,middlegame,22,black,0
r3kb1r/pp1b1ppp/1qn1p3/2ppPn2/5PP1/2PP1N2/PP2B2P/RNBQ1RK1 b kq - 0 9,middlegame,18,black,0
r3kb1r/pp1bnppp/1q2p3/2ppPnN1/5PB1/2PP3P/PP4K1/RNBQ1R2 w kq - 5 14,middlegame,27,white,-1
r3kb1r/pp1b1ppp/1qn1p2n/2ppP1N1/5P2/2PP3P/PP2B1K1/RNBQ1R2 b kq - 2 12,middlegame,24,black,-1
r3k1r1/p1pp1pbp/2b1p2p/1Q6/2P5/2P4N/PP1N1PPP/R4RK1 w q - 2 16,middlegame,31,white,9
r3k1r1/p1pp1pbp/4p2p/1Q6/2P1b3/2P4N/PP1N1PPP/R4RK1 b q - 1 15,middlegame,30,black,9
r2qk1r1/pbpp1pbp/1pn1p2p/8/2B1P3/2PP1Q1N/PP3PPP/RN2K2R b KQq - 4 9,middlegame,18,black,0
r1bq1rk1/pppp1ppp/2n2n2/2b1p3/2B1P3/2PP1N2/PP3PPP/RNBQK2R w KQ - 1 6,middlegame,11,white,0
1r1q1rk1/p1p2ppp/Q2pbn2/2b1p1B1/4P3/2PP1N2/PP3PPP/RN3RK1 b - - 2 11,middlegame,22,black,1
r1bq1rk1/ppp2ppp/3p1n2/n1b1p1B1/2B1P3/2PP1N2/PP3PPP/RN1Q1RK1 w - - 2 8,middlegame,15,white,0
r3k2r/1p2np2/p1pp1nq1/4p1pp/NPP1P3/P2PQ2P/4BPP1/1R3RK1 w k - 4 20,middlegame,39,white,0
rnbqk1nr/1pp2ppp/p2p4/2b1p3/2P1P3/3P1N2/PP3PPP/RNBQKB1R w KQkq - 0 5,opening,9,white,0
1r2k2r/1p2np2/pNpp1nq1/4p1pp/1PP1P3/P2PQ2P/4BPP1/1R3RK1 w k - 6 21,middlegame,41,white,0
3r3k/1p2rp2/p1nQ2p1/2p5/2P1P3/2K2P1B/PP6/7R w - - 3 33,endgame,65,white,4
r4r1k/1p2Np2/p2p1np1/2p5/Q1P1P2p/3BKP2/PP4q1/R6R b - - 3 24,middlegame,48,black,1
rnbqkbnr/pp2pppp/3p4/2p5/2PP1B2/8/PP2PPPP/RN1QKBNR b KQkq - 1 3,opening,6,black,0
