fen,phase,move_number,turn,material_diff,your_moves,time_taken,eval_before_cp,eval_after_cp,mate_before_dist,mate_after_dist,best_stockfish,eval_deviations
rn2kb1r/pbpp1p1p/1p2p2p/6q1/3PP3/P1N5/1PP1BPPP/R2QK1NR w KQkq - 2 7,middlegame,13,white,0,"e2f3,g1f3,g1f3",25.27,135.0,"89,141,132",,"None,None,None",g1f3,"46,6,3"
rn1qkb1r/ppp2pp1/4pnp1/3p4/3P4/4P3/PPPN1PPP/R1BQKB1R w KQkq - 0 7,middlegame,13,white,0,"c2c4,h2h3,c2c4",13.36,40.0,"20,5,12",,"None,None,None",g2g3,"20,35,28"
r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/P1N2N2/1PPP1PPP/R1BQK2R b KQkq - 0 5,middlegame,10,black,0,"d7d6,e8g8,a7a6",25.96,5.0,"4,10,8",,"None,None,None",d7d6,"1,5,3"
8/pp2k1p1/2p5/6p1/3PP1K1/2P4P/PP1b2P1/8 w - - 4 30,endgame,59,white,-1,"g4f5,e4e5,a2a4",22.15,-360.0,"-386,-454,-398",,"None,None,None",g4f5,"26,94,38"
r3kb1r/pp1bnpp1/1q2p2p/2ppP1N1/5PB1/2PP1K1P/PP1N4/R1BR4 w kq - 0 17,middlegame,33,white,-7,"g5f7,g5f7,g5e6",31.03,-683.0,"-667,-677,-749",,"None,None,None",g5f7,"16,6,66"
r2qk1r1/pbpp1pbp/1p2p2p/4n3/2B1P3/2PPQ2N/PP3PPP/RN2K2R b KQq - 6 10,middlegame,20,black,0,"e5c4,d7d5,d7d5",22.51,-176.0,"-217,-139,-150",,"None,None,None",e5c4,"41,37,26"
r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,opening,7,white,0,"d2d3,d2d3,e1g1",12.1,15.0,"20,28,-42",,"None,None,None",d2d3,"5,13,57"
r3k2r/1ppnnpp1/p2p1q1p/4p3/2PbP3/P1NP1Q1P/1P1BBPP1/R4RK1 w kq - 0 12,middlegame,23,white,0,"f3f6,d2e3,f3f6",22.92,38.0,"41,-28,33",,"None,None,None",f3f6,"3,66,5"
4rr1k/1p2Np2/p2p2p1/2p1n3/2P1P3/3K1P1p/PP4q1/R2Q1B1R w - - 6 28,middlegame,55,white,1,"d3c3,d3c3,d3c3",21.84,-542.0,"-547,-551,-536",,"None,None,None",d3c3,"5,9,6"
rnbqk1nr/ppp2ppp/3b4/8/8/5N2/PPP1PPPP/RNBQKB1R b KQkq - 1 4,opening,8,black,1,"g8f6,c8e6,b8c6",20.5,95.0,"98,138,114",,"None,None,None",g8f6,"3,43,19"
8/p3r2k/2R2p2/6pp/1PpP4/2Pb3P/P3rPP1/2R1BK2 b - - 0 32,endgame,64,black,2,"e2e1,e2e1,e2e1",3.85,-9999.0,"-10000,-10000,-10000",-1.0,"0,0,0",e2e1,"0,0,0"
8/8/r1pkp2K/P2pr2p/R5bP/2R5/2P5/8 b - - 3 40,endgame,80,black,-4,"e5f5,a6a8,c6c5",25.19,-452.0,"-516,-520,-540",,"None,None,None",d5d4,"64,68,88"
r1b1k1nr/pppp1ppp/1bn2q2/4p3/1PB1P3/P4N2/2PP1PPP/RNBQK2R w KQkq - 1 6,middlegame,11,white,0,"b1c3,d2d3,e1g1",10.75,32.0,"-10,2,31",,"None,None,None",e1g1,"42,30,1"
r1bqkb1r/ppppnpp1/2n4p/1B2p3/4P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq - 0 5,opening,9,white,0,"e1g1,d2d3,d2d4",9.47,97.0,"65,29,100",,"None,None,None",d2d4,"32,68,3"
2kr4/1p5p/p5p1/2p1RnP1/P1r2P2/2N5/1PP5/2K2R2 b - - 3 26,endgame,52,black,0,"d8d7,c8c7,b7b6",46.74,15.0,"28,37,66",,"None,None,None",c8b8,"13,22,51"
rnbqkb1r/pppp1ppp/5n2/8/4p3/1P1P3N/PBP1PPPP/RN1QKB1R b KQkq - 2 4,opening,8,black,0,"e4d3,d7d5,d7d5",26.68,-47.0,"30,-44,-45",,"None,None,None",d7d5,"77,3,2"
5rk1/4bppp/1p6/3pPp2/pP1P1P2/P1r2N2/5R1P/R5K1 w - - 0 24,endgame,47,white,-1,"g1g2,a1a2,g1g2",42.91,-239.0,"-268,-278,-248",,"None,None,None",g1g2,"29,39,9"
r6r/pk1b2pp/1p3n2/P2p4/1P3B2/2N5/5PPP/R3R1K1 b - - 0 23,middlegame,46,black,0,"a8c8,h8e8,h8e8",20.3,183.0,"184,213,216",,"None,None,None",a8c8,"1,30,33"
3r3r/1k3ppp/2pb4/Pp1p4/3P1B2/1R3K2/5PPP/1R6 b - - 1 28,endgame,56,black,-1,"b7a6,h8e8,h8e8",36.53,-300.0,"-7,-279,-293",,"None,None,None",h8e8,"293,21,7"
r1b2rk1/pppp1ppp/2n2q2/3Qp3/2B1P3/5N2/PPP3PP/RN3RK1 b - - 7 10,middlegame,20,black,1,"d7d6,d7d6,d7d6",26.03,352.0,"351,340,337",,"None,None,None",f6h6,"1,12,15"
